amfi_code,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,latest_nav,as_of_date
100016,-2.22,1.29,,583.6113,2026-05-29
100025,3.7,3.92,,31.8843,2026-05-29
100033,53.23,32.44,,342.0072,2026-05-29
101206,47.92,28.97,,773.2939,2026-05-29
101207,-23.99,-4.15,,53.9836,2026-05-29
101208,7.24,6.32,,410.1021,2026-05-29
102885,20.21,19.67,,187.7797,2026-05-29
102886,-16.8,-0.77,,125.564,2026-05-29
102887,13.58,25.56,,378.9657,2026-05-29
118632,33.98,22.65,,110.5554,2026-05-29
118633,25.54,21.09,,91.601,2026-05-29
118634,15.81,8.01,,134.6683,2026-05-29
118635,22.49,20.01,,326.7508,2026-05-29
118636,10.45,4.06,,37.8243,2026-05-29
119092,1.61,0.53,,50.8387,2026-05-29
119093,19.77,20.82,,58.4203,2026-05-29
119094,22.26,35.11,,203.8581,2026-05-29
119095,-42.8,-11.71,,56.1319,2026-05-29
119120,5.52,5.84,,54.2038,2026-05-29
119551,60.44,30.46,,149.3216,2026-05-29
119552,5.71,16.27,,137.7323,2026-05-29
119598,82.78,26.67,,309.205,2026-05-29
119599,13.95,-1.34,,105.4849,2026-05-29
120503,8.49,13.98,,118.1496,2026-05-29
120504,13.06,32.49,,151.1311,2026-05-29
120505,29.6,31.78,,473.764,2026-05-29
120506,41.82,18.42,,404.4207,2026-05-29
120507,7.43,7.39,,388.5939,2026-05-29
120841,16.84,17.27,,482.127,2026-05-29
120842,22.5,7.76,,82.6457,2026-05-29
120843,26.66,29.58,,163.2397,2026-05-29
120844,7.12,6.7,,4268.5497,2026-05-29
125497,28.68,18.43,,1204.9571,2026-05-29
125498,15.44,11.25,,188.3619,2026-05-29
148567,20.36,34.0,,230.2708,2026-05-29
148568,14.27,14.75,,205.451,2026-05-29
148569,39.75,29.18,,97.7435,2026-05-29
149322,18.11,18.04,,606.2349,2026-05-29
149323,21.48,26.87,,245.3651,2026-05-29
149324,65.14,27.0,,279.7511,2026-05-29
