date,amfi_code,nav,daily_return_pct,year_month,nav_30d_avg
2022-01-03,100016,520.4608,,2022-01,520.4608
2022-01-04,100016,515.0971,-0.010306,2022-01,517.7789
2022-01-05,100016,521.7239,0.012865,2022-01,519.0939
2022-01-06,100016,515.788,-0.011377,2022-01,518.2674
2022-01-07,100016,515.1639,-0.00121,2022-01,517.6467
2022-01-10,100016,510.7136,-0.008639,2022-01,516.4912
2022-01-11,100016,513.5542,0.005562,2022-01,516.0716
2022-01-12,100016,512.3195,-0.002404,2022-01,515.6026
2022-01-13,100016,510.2445,-0.00405,2022-01,515.0073
2022-01-14,100016,514.3636,0.008073,2022-01,514.9429
2022-01-17,100016,514.7627,0.000776,2022-01,514.9265
2022-01-18,100016,517.3803,0.005085,2022-01,515.131
2022-01-19,100016,513.1866,-0.008106,2022-01,514.9814
2022-01-20,100016,507.1294,-0.011803,2022-01,514.4206
2022-01-21,100016,507.871,0.001462,2022-01,513.9839
2022-01-24,100016,506.7062,-0.002293,2022-01,513.5291
2022-01-25,100016,509.7762,0.006059,2022-01,513.3083
2022-01-26,100016,509.68,-0.000189,2022-01,513.1068
2022-01-27,100016,510.8661,0.002327,2022-01,512.9888
2022-01-28,100016,503.8641,-0.013706,2022-01,512.5326
2022-01-31,100016,512.5903,0.017319,2022-01,512.5353
2022-02-01,100016,512.1124,-0.000932,2022-02,512.5161
2022-02-02,100016,515.5386,0.00669,2022-02,512.6475
2022-02-03,100016,512.0153,-0.006834,2022-02,512.6212
2022-02-04,100016,513.6729,0.003237,2022-02,512.6632
2022-02-07,100016,508.0666,-0.010914,2022-02,512.4865
2022-02-08,100016,510.3595,0.004513,2022-02,512.4077
2022-02-09,100016,509.0223,-0.00262,2022-02,512.2868
2022-02-10,100016,509.4161,0.000774,2022-02,512.1878
2022-02-11,100016,512.826,0.006694,2022-02,512.2091
2022-02-14,100016,507.5435,-0.010301,2022-02,511.7785
2022-02-15,100016,504.7492,-0.005506,2022-02,511.4336
2022-02-16,100016,507.0506,0.004559,2022-02,510.9444
2022-02-17,100016,516.7872,0.019202,2022-02,510.9777
2022-02-18,100016,516.4246,-0.000702,2022-02,511.0198
2022-02-21,100016,519.3918,0.005746,2022-02,511.309
2022-02-22,100016,519.1698,-0.000427,2022-02,511.4962
2022-02-23,100016,528.4118,0.017801,2022-02,512.0326
2022-02-24,100016,520.6004,-0.014783,2022-02,512.3778
2022-02-25,100016,521.3038,0.001351,2022-02,512.6092
2022-02-28,100016,514.1489,-0.013725,2022-02,512.5887
2022-03-01,100016,503.1674,-0.021359,2022-03,512.115
2022-03-02,100016,504.7495,0.003144,2022-03,511.8337
2022-03-03,100016,505.6316,0.001748,2022-03,511.7838
2022-03-04,100016,504.6233,-0.001994,2022-03,511.6755
2022-03-07,100016,504.411,-0.000421,2022-03,511.599
2022-03-08,100016,518.6513,0.028232,2022-03,511.8949
2022-03-09,100016,517.7387,-0.00176,2022-03,512.1635
2022-03-10,100016,520.3416,0.005027,2022-03,512.4793
2022-03-11,100016,517.6372,-0.005197,2022-03,512.9384
2022-03-14,100016,519.2545,0.003124,2022-03,513.1606
2022-03-15,100016,518.432,-0.001584,2022-03,513.3712
2022-03-16,100016,516.825,-0.0031,2022-03,513.4141
2022-03-17,100016,525.4534,0.016695,2022-03,513.8621
2022-03-18,100016,531.2109,0.010957,2022-03,514.4466
2022-03-21,100016,532.1264,0.001723,2022-03,515.2486
2022-03-22,100016,521.6911,-0.019611,2022-03,515.6264
2022-03-23,100016,520.3011,-0.002664,2022-03,516.0023
2022-03-24,100016,533.1283,0.024653,2022-03,516.7927
2022-03-25,100016,532.3194,-0.001517,2022-03,517.4425
2022-03-28,100016,537.8012,0.010298,2022-03,518.4511
2022-03-29,100016,544.965,0.013321,2022-03,519.7916
2022-03-30,100016,546.3002,0.00245,2022-03,521.0999
2022-03-31,100016,542.5392,-0.006884,2022-03,521.9583
2022-04-01,100016,531.285,-0.020744,2022-04,522.4537
2022-04-04,100016,534.7762,0.006571,2022-04,522.9665
2022-04-05,100016,531.2213,-0.006647,2022-04,523.3682
2022-04-06,100016,532.3217,0.002071,2022-04,523.4986
2022-04-07,100016,526.7582,-0.010451,2022-04,523.7038
2022-04-08,100016,525.7986,-0.001822,2022-04,523.8536
2022-04-11,100016,526.2264,0.000814,2022-04,524.2562
2022-04-12,100016,527.7466,0.002889,2022-04,525.0755
2022-04-13,100016,522.8529,-0.009273,2022-04,525.679
2022-04-14,100016,528.6739,0.011133,2022-04,526.4471
2022-04-15,100016,526.1696,-0.004737,2022-04,527.1653
2022-04-18,100016,518.7241,-0.01415,2022-04,527.6424
2022-04-19,100016,518.493,-0.000446,2022-04,527.6371
2022-04-20,100016,518.9178,0.000819,2022-04,527.6764
2022-04-21,100016,519.9214,0.001934,2022-04,527.6624
2022-04-22,100016,526.4763,0.012607,2022-04,527.957
2022-04-25,100016,525.6507,-0.001568,2022-04,528.1702
2022-04-26,100016,525.3674,-0.000539,2022-04,528.4014
2022-04-27,100016,520.5493,-0.009171,2022-04,528.5256
2022-04-28,100016,524.6005,0.007783,2022-04,528.4971
2022-04-29,100016,525.7251,0.002144,2022-04,528.3143
2022-05-02,100016,524.0515,-0.003183,2022-05,528.0451
2022-05-03,100016,515.5881,-0.01615,2022-05,527.8417
2022-05-04,100016,522.4674,0.013343,2022-05,527.9139
2022-05-05,100016,517.1078,-0.010258,2022-05,527.3799
2022-05-06,100016,514.6837,-0.004688,2022-05,526.792
2022-05-09,100016,516.5793,0.003683,2022-05,526.0846
2022-05-10,100016,511.4204,-0.009987,2022-05,524.9665
2022-05-11,100016,504.9889,-0.012576,2022-05,523.5894
2022-05-12,100016,495.8735,-0.018051,2022-05,522.0339
2022-05-13,100016,499.2941,0.006898,2022-05,520.9675
2022-05-16,100016,497.1556,-0.004283,2022-05,519.7135
2022-05-17,100016,510.4206,0.026682,2022-05,519.0201
2022-05-18,100016,506.2251,-0.00822,2022-05,518.1503
2022-05-19,100016,502.3871,-0.007582,2022-05,517.3379
2022-05-20,100016,500.1462,-0.004461,2022-05,516.4828
2022-05-23,100016,501.4785,0.002664,2022-05,515.6579
2022-05-24,100016,499.6609,-0.003624,2022-05,514.7217
2022-05-25,100016,502.6257,0.005934,2022-05,514.0474
2022-05-26,100016,498.5637,-0.008082,2022-05,513.0438
2022-05-27,100016,492.78,-0.011601,2022-05,511.9308
2022-05-30,100016,485.277,-0.015226,2022-05,510.8159
2022-05-31,100016,476.0989,-0.018913,2022-05,509.4028
2022-06-01,100016,474.1732,-0.004045,2022-06,507.9113
2022-06-02,100016,473.1602,-0.002136,2022-06,506.3526
2022-06-03,100016,470.7754,-0.00504,2022-06,504.4959
2022-06-06,100016,476.2119,0.011548,2022-06,502.8479
2022-06-07,100016,481.6458,0.011411,2022-06,501.3905
2022-06-08,100016,480.4735,-0.002434,2022-06,500.0547
2022-06-09,100016,473.1759,-0.015188,2022-06,498.3405
2022-06-10,100016,471.0598,-0.004472,2022-06,496.5183
2022-06-13,100016,468.8163,-0.004763,2022-06,494.6772
2022-06-14,100016,466.3477,-0.005266,2022-06,493.0358
2022-06-15,100016,463.7261,-0.005622,2022-06,491.0778
2022-06-16,100016,461.2993,-0.005233,2022-06,489.2175
2022-06-17,100016,459.9666,-0.002889,2022-06,487.3936
2022-06-20,100016,457.6317,-0.005076,2022-06,485.4287
2022-06-21,100016,458.7099,0.002356,2022-06,483.6716
2022-06-22,100016,460.4075,0.003701,2022-06,482.1856
2022-06-23,100016,456.9604,-0.007487,2022-06,480.8885
2022-06-24,100016,462.3501,0.011795,2022-06,479.657
2022-06-27,100016,458.6076,-0.008095,2022-06,478.3721
2022-06-28,100016,452.344,-0.013658,2022-06,476.4362
2022-06-29,100016,454.0998,0.003882,2022-06,474.6987
2022-06-30,100016,451.0707,-0.006671,2022-06,472.9881
2022-07-01,100016,452.584,0.003355,2022-07,471.4027
2022-07-04,100016,443.3196,-0.02047,2022-07,469.4641
2022-07-05,100016,449.0289,0.012879,2022-07,467.7764
2022-07-06,100016,451.9322,0.006466,2022-07,466.0866
2022-07-07,100016,446.2213,-0.012637,2022-07,464.3418
2022-07-08,100016,440.6669,-0.012448,2022-07,462.6047
2022-07-11,100016,447.4448,0.015381,2022-07,461.3437
2022-07-12,100016,444.7739,-0.005969,2022-07,460.2995
2022-07-13,100016,441.7416,-0.006818,2022-07,459.2184
2022-07-14,100016,433.2246,-0.019281,2022-07,457.8873
2022-07-15,100016,432.1093,-0.002574,2022-07,456.5984
2022-07-18,100016,431.4649,-0.001491,2022-07,455.1068
2022-07-19,100016,434.4201,0.006849,2022-07,453.5326
2022-07-20,100016,429.3142,-0.011753,2022-07,451.8273
2022-07-21,100016,423.8151,-0.012809,2022-07,450.182
2022-07-22,100016,425.7236,0.004503,2022-07,448.6708
2022-07-25,100016,429.7419,0.009439,2022-07,447.3683
2022-07-26,100016,424.047,-0.013252,2022-07,445.9583
2022-07-27,100016,428.3319,0.010105,2022-07,444.7784
2022-07-28,100016,428.6948,0.000847,2022-07,443.6916
2022-07-29,100016,433.0659,0.010196,2022-07,442.7949
2022-08-01,100016,433.0211,-0.000103,2022-08,441.9746
2022-08-02,100016,423.7137,-0.021494,2022-08,440.808
2022-08-03,100016,423.3646,-0.000824,2022-08,439.5733
2022-08-04,100016,427.5619,0.009914,2022-08,438.5933
2022-08-05,100016,424.424,-0.007339,2022-08,437.3291
2022-08-08,100016,423.1925,-0.002902,2022-08,436.1486
2022-08-09,100016,422.7537,-0.001037,2022-08,435.1623
2022-08-10,100016,412.293,-0.024744,2022-08,433.7687
2022-08-11,100016,418.6311,0.015373,2022-08,432.6874
2022-08-12,100016,415.5307,-0.007406,2022-08,431.4523
2022-08-15,100016,417.6036,0.004989,2022-08,430.5951
2022-08-16,100016,417.4997,-0.000249,2022-08,429.5441
2022-08-17,100016,422.3739,0.011675,2022-08,428.5588
2022-08-18,100016,424.1079,0.004105,2022-08,427.8217
2022-08-19,100016,423.4485,-0.001555,2022-08,427.2478
2022-08-22,100016,420.3416,-0.007337,2022-08,426.3443
2022-08-23,100016,423.5281,0.007581,2022-08,425.6362
2022-08-24,100016,416.803,-0.015879,2022-08,424.8049
2022-08-25,100016,419.4003,0.006231,2022-08,424.3441
2022-08-26,100016,415.5691,-0.009135,2022-08,423.7927
2022-08-29,100016,420.401,0.011627,2022-08,423.4239
2022-08-30,100016,421.2166,0.00194,2022-08,422.9838
2022-08-31,100016,423.8348,0.006216,2022-08,422.8012
2022-09-01,100016,424.3603,0.00124,2022-09,422.8193
2022-09-02,100016,418.068,-0.014828,2022-09,422.5641
2022-09-05,100016,415.1206,-0.00705,2022-09,422.0768
2022-09-06,100016,417.805,0.006467,2022-09,421.8687
