amfi_code,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,alpha,beta,max_drawdown,return_rank,sharpe_rank,alpha_rank,dd_rank,fund_score,fund_house,scheme_name,category,sub_category,plan,launch_date,benchmark,expense_ratio_pct,exit_load_pct,min_sip_amount,min_lumpsum_amount,fund_manager,risk_category,sebi_category_code
148567,0.1458071475984759,0.3127857318272198,,1.4482911703262595,0.2691067256955176,0.010472156175636847,-0.11265729075028275,4.0,1.0,6.0,8.0,4.65,Mirae Asset MF,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Large Cap,Regular,2008-04-04,NIFTY 100 TRI,1.46,1.0,500,1000,Gaurav Misra,Moderate,EC01
120843,0.2848107293384283,0.2566188265022562,,1.3067439695428409,0.27321125754709386,-0.0043698864336394845,-0.1297396816518679,10.0,2.0,5.0,13.0,7.75,Kotak Mahindra MF,Kotak Flexicap Fund - Regular - Growth,Equity,Flexi Cap,Regular,2009-08-11,NIFTY 500 TRI,1.45,1.0,500,1000,Pankaj Tibrewal,Moderately High,EC04
101206,0.4509392715300502,0.32528591355184844,,1.0272133278753697,0.21465600456186984,-6.730818908691792e-05,-0.11291596329323073,3.0,9.0,13.0,9.0,8.0,Aditya Birla Sun Life MF,ABSL Frontline Equity Fund - Regular - Growth,Equity,Large Cap,Regular,2002-08-30,NIFTY 100 TRI,1.6,1.0,500,1000,Mahesh Patil,Moderate,EC01
100033,0.4773458959806238,0.3362921056230763,,1.0936987435346315,0.26875229141391044,0.02409659525974328,-0.16217208574644848,2.0,7.0,7.0,20.0,8.75,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Mid Cap,Regular,2007-06-25,NIFTY Midcap 150 TRI,1.38,1.0,500,1000,Chirag Setalvad,High,EC02
120504,0.11500730028249406,0.28369809430069837,,1.0265242847992997,0.21609064980413412,-0.026139233988137493,-0.12588275606922517,6.0,10.0,11.0,12.0,9.5,ICICI Prudential MF,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Large Cap,Direct,2013-01-01,NIFTY 100 TRI,0.8,1.0,500,1000,Anish Tawakley,Moderate,EC01
120505,0.3035341170540422,0.30206534630200976,,1.1801011976606492,0.29508521272984833,-0.017453793025029023,-0.18188513572116294,5.0,5.0,3.0,25.0,9.6,ICICI Prudential MF,ICICI Pru Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,2004-10-28,NIFTY Midcap 150 TRI,1.36,1.0,500,1000,Sankaran Naren,High,EC02
119551,0.48883881388717176,0.27727427651752534,,1.2082665673727175,0.23454374664870614,-0.025189498642974626,-0.1501238549864533,8.0,4.0,10.0,17.0,9.65,SBI Mutual Fund,SBI Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Regular,2006-02-14,NIFTY 100 TRI,1.54,1.0,500,1000,Sohini Andani,Moderate,EC01
148569,0.4446574419216476,0.23317122535147572,,1.2349300257743294,0.2808029988427154,0.01764127461601426,-0.1639674294693263,13.0,3.0,4.0,21.0,10.7,Mirae Asset MF,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,ELSS,Regular,2015-12-28,NIFTY 500 TRI,1.6,1.0,500,1000,Neelesh Surana,High,EC05
119094,0.30918202012534524,0.3606601747719518,,0.9982309868636414,0.2627316899588547,-0.02872862296112551,-0.20960883862039192,1.0,11.0,9.0,28.0,11.85,Axis Mutual Fund,Axis Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,2011-02-18,NIFTY Midcap 50 TRI,1.38,1.0,500,1000,Jinesh Gopani,High,EC02
149323,0.22305604128077272,0.24242464971409516,,1.132121852474724,0.26573261554511396,0.0012594990971761925,-0.17248105753451382,12.0,6.0,8.0,22.0,12.2,DSP Mutual Fund,DSP Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,2006-11-16,NIFTY Midcap 150 TRI,1.61,1.0,500,1000,Vinit Sambre,High,EC02
119598,0.8453224636924352,0.27814418371202754,,0.9453082575156093,0.303144867465332,-0.0035080093727523484,-0.2870600572176455,7.0,14.0,1.0,36.0,14.8,SBI Mutual Fund,SBI Small Cap Fund - Regular Plan - Growth,Equity,Small Cap,Regular,2009-09-09,BSE 250 SmallCap TRI,1.43,1.0,500,1000,R. Srinivasan,Very High,EC03
102885,0.18318548216870223,0.17520119946365442,,0.8170993373494365,0.17094095164685527,-0.007555188223630716,-0.1085986215250232,19.0,16.0,19.0,7.0,15.25,UTI Mutual Fund,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Index,Regular,2000-03-06,NIFTY 50 TRI,1.57,0.0,500,1000,Sharwan Kumar Goyal,Moderate,EI01
118632,0.21776763418747302,0.18088593620415083,,1.0816591793457035,0.2157852505239689,0.01615659515806825,-0.17414075086657232,17.0,8.0,12.0,23.0,15.25,Nippon India MF,Nippon India Large Cap Fund - Regular - Growth,Equity,Large Cap,Regular,2004-08-08,NIFTY 100 TRI,1.51,1.0,500,1000,Sailesh Raj Bhan,Moderate,EC01
119552,0.08251685485100624,0.15383382573944893,,0.9532794968660094,0.20047597382446736,-0.01861871945625362,-0.11803493502764295,23.0,12.0,15.0,11.0,15.649999999999999,SBI Mutual Fund,SBI Bluechip Fund - Direct Plan - Growth,Equity,Large Cap,Direct,2013-01-01,NIFTY 100 TRI,0.66,1.0,500,1000,Sohini Andani,Moderate,EC01
149324,0.6208181174018113,0.25029675402929885,,0.9497958246616028,0.2958210599599487,0.03666692667132801,-0.31171900300634214,11.0,13.0,2.0,37.0,16.2,DSP Mutual Fund,DSP Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,2007-06-14,BSE 250 SmallCap TRI,1.52,1.0,500,1000,Vinit Sambre,Very High,EC03
125497,0.2934732237752924,0.1770571225538371,,0.775790249821121,0.1776220377104348,0.008449617960571592,-0.15200013055606398,18.0,18.0,16.0,18.0,17.599999999999998,HDFC Mutual Fund,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Large Cap,Direct,2013-01-01,NIFTY 100 TRI,0.92,1.0,500,1000,Rahul Baijal,Moderate,EC01
