amfi_code,sortino_ratio
100016,-0.2868
100025,-0.7812
100033,1.6314
101206,1.5449
101207,0.2331
101208,-1.1015
102885,1.2132
102886,-0.2867
102887,0.9191
118632,1.6113
118633,0.9672
118634,0.6468
118635,0.9762
118636,-0.4968
119092,0.0439
119093,0.1843
119094,1.5036
119095,-0.1076
119120,-0.318
119551,1.8394
119552,1.419
119598,1.4174
119599,-0.0802
120503,1.176
120504,1.5384
120505,1.7827
120506,0.9513
120507,0.7183
120841,0.7194
120842,0.1069
120843,2.0149
120844,-0.125
125497,1.1483
125498,0.4297
148567,2.1769
148568,1.3803
148569,1.8743
149322,0.6691
149323,1.6694
149324,1.42
