amfi_code,var_95_daily_pct,cvar_95_daily_pct,var_95_annual_pct
100016,-1.4364,-1.806,-22.8016
100025,-0.3793,-0.4994,-6.0216
100033,-1.9034,-2.3456,-30.2148
101206,-1.3282,-1.7439,-21.084
101207,-2.6021,-3.2459,-41.3075
101208,-0.0269,-0.0422,-0.4265
102885,-1.2613,-1.549,-20.0219
102886,-1.922,-2.3251,-30.5113
102887,-1.5232,-1.9411,-24.1794
118632,-1.3954,-1.7619,-22.1514
118633,-1.3443,-1.663,-21.3393
118634,-2.5438,-3.2304,-40.3818
118635,-1.2554,-1.6177,-19.9284
118636,-0.3804,-0.4919,-6.0389
119092,-1.375,-1.7328,-21.8268
119093,-1.4226,-1.7487,-22.5823
119094,-1.848,-2.426,-29.3365
119095,-2.6188,-3.1667,-41.5728
119120,-0.3938,-0.5014,-6.2518
119551,-1.2846,-1.6397,-20.3928
119552,-1.3501,-1.7336,-21.4321
119598,-2.4507,-3.0595,-38.9037
119599,-2.6859,-3.2384,-42.638
120503,-1.355,-1.7451,-21.51
120504,-1.3728,-1.7494,-21.7928
120505,-1.8892,-2.4342,-29.9898
120506,-1.4388,-1.9405,-22.841
120507,-0.0222,-0.0373,-0.3517
120841,-1.3142,-1.6363,-20.8619
120842,-1.8219,-2.2725,-28.921
120843,-1.4508,-1.8381,-23.0306
120844,-0.0285,-0.0411,-0.4521
125497,-1.4592,-1.831,-23.1637
125498,-1.8365,-2.3094,-29.154
148567,-1.356,-1.7623,-21.5255
148568,-1.4712,-1.8765,-23.3538
148569,-1.7118,-2.1328,-27.1743
149322,-1.4474,-1.8402,-22.9765
149323,-1.7882,-2.2607,-28.3869
149324,-2.3483,-3.1036,-37.2782
